,ORIGIN_AIRPORT_ID,Address
6626,10165,"Adak Island, AK: Adak"
7701,15027,"Christiansted, VI: Henry E. Rohlsen"
9299,12016,"Guam, TT: Guam International"
9301,14955,"Saipan, TT: Francisco C. Ada Saipan International"
9398,11617,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional"
9658,10279,"Amarillo, TX: Rick Husband Amarillo International"
11184,12391,"Islip, NY: Long Island MacArthur"
12376,15074,"Stillwater, OK: Stillwater Regional"
12390,15295,"Toledo, OH: Toledo Express"
12451,10728,"Beaumont/Port Arthur, TX: Jack Brooks Regional"
12552,11905,"Longview, TX: East Texas Regional"
13543,15356,"Trenton, NJ: Trenton Mercer"
14076,12244,"New Haven, CT: Tweed New Haven"
16190,12265,"Niagara Falls, NY: Niagara Falls International"
25666,12917,"Columbus, OH: Rickenbacker International"
26049,12119,"Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field"
26899,15991,"Yakutat, AK: Yakutat Airport"
26915,10926,"Cordova, AK: Merle K Mudhole Smith"
32861,14222,"Pago Pago, TT: Pago Pago International"
35149,11013,"Sault Ste. Marie, MI: Chippewa County International"
35308,14006,"Paducah, KY: Barkley Regional"
48960,14259,"Portsmouth, NH: Portsmouth International at Pease"
48981,13983,"Owensboro, KY: Owensboro Daviess County Regional"
49102,13829,"Ogden, UT: Ogden-Hinckley"
58423,10562,"Mobile, AL: Mobile Downtown"
65035,15008,"St. Cloud, MN: St. Cloud Regional"
221920,14812,"Sheridan, WY: Sheridan County"
221924,14534,"Riverton/Lander, WY: Riverton Regional"
